Sector;Year;Total Accidents;Accidents Rate;Total Deaths;Deaths Rate
agricoltura, silvicoltura e pesca;2013;3922;49.09;13;1.63
agricoltura, silvicoltura e pesca;2014;3741;46.07;17;2.09
agricoltura, silvicoltura e pesca;2015;3354;39.79;11;1.30
agricoltura, silvicoltura e pesca;2016;3104;35.11;15;1.70
agricoltura, silvicoltura e pesca;2017;2870;32.95;12;1.38
agricoltura, silvicoltura e pesca;2018;2840;32.57;7;0.80
industria;2013;96891;217.78;184;4.14
industria;2014;91529;202.99;174;3.86
industria;2015;88485;196.33;218;4.84
industria;2016;88037;193.87;171;3.77
industria;2017;83891;183.53;163;3.57
industria;2018;92450;198.69;164;3.52
costruzioni;2013;48259;310.75;184;11.85
costruzioni;2014;43034;289.99;170;11.46
costruzioni;2015;40768;277.71;205;13.96
costruzioni;2016;39710;282.83;187;13.32
costruzioni;2017;34950;246.82;129;9.11
costruzioni;2018;36607;260.18;143;10.16
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2013;54691;166.34;123;3.74
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2014;51512;159.63;107;3.32
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2015;49837;156.03;104;3.26
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2016;50687;156.34;92;2.84
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2017;45636;138.80;99;3.01
commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli;2018;48132;146.43;81;2.46
trasporto e magazzinaggio;2013;44712;432.42;119;11.51
trasporto e magazzinaggio;2014;43059;414.43;116;11.16
trasporto e magazzinaggio;2015;41815;404.79;144;13.94
trasporto e magazzinaggio;2016;42889;395.29;133;12.26
trasporto e magazzinaggio;2017;38013;342.46;105;9.46
trasporto e magazzinaggio;2018;39463;349.54;143;12.67
attività dei servizi di alloggio e di ristorazione;2013;27388;436.81;57;9.09
attività dei servizi di alloggio e di ristorazione;2014;26938;440.16;59;9.64
attività dei servizi di alloggio e di ristorazione;2015;26621;413.37;66;10.25
attività dei servizi di alloggio e di ristorazione;2016;28084;432.73;63;9.71
attività dei servizi di alloggio e di ristorazione;2017;24571;385.13;45;7.05
attività dei servizi di alloggio e di ristorazione;2018;26048;405.73;61;9.50
servizi di informazione e comunicazione;2013;3101;18.22;8;0.47
servizi di informazione e comunicazione;2014;3123;17.93;7;0.40
servizi di informazione e comunicazione;2015;2966;16.80;8;0.45
servizi di informazione e comunicazione;2016;2896;16.37;3;0.17
servizi di informazione e comunicazione;2017;2517;13.91;6;0.33
servizi di informazione e comunicazione;2018;2704;15.01;6;0.33
attività finanziarie e assicurative;2013;5736;91.48;19;3.03
attività finanziarie e assicurative;2014;5444;88.95;16;2.61
attività finanziarie e assicurative;2015;5152;80.00;6;0.93
attività finanziarie e assicurative;2016;5194;80.03;6;0.92
attività finanziarie e assicurative;2017;4478;70.19;5;0.78
attività finanziarie e assicurative;2018;4622;71.99;8;1.25
servizi alle imprese;2013;11193;65.76;22;1.29
servizi alle imprese;2014;10610;60.91;19;1.09
servizi alle imprese;2015;10519;59.60;15;0.85
servizi alle imprese;2016;11766;66.51;21;1.19
servizi alle imprese;2017;10662;58.91;7;0.39
servizi alle imprese;2018;11601;64.38;22;1.22
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2013;20886;159.92;23;1.76
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2014;19197;149.98;22;1.72
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2015;17931;138.68;30;2.32
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2016;15778;125.02;25;1.98
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2017;13759;109.20;17;1.35
amministrazione pubblica e difesa, assicurazione sociale obbligatoria;2018;13019;104.74;24;1.93
istruzione e sanità;2013;35110;107.86;25;0.77
istruzione e sanità;2014;35711;107.66;19;0.57
istruzione e sanità;2015;33467;101.26;24;0.73
istruzione e sanità;2016;28523;84.54;12;0.36
istruzione e sanità;2017;26558;76.38;17;0.49
istruzione e sanità;2018;25596;73.57;18;0.52
altri servizi collettivi e personali;2013;77022;452.54;136;7.99
altri servizi collettivi e personali;2014;75237;431.90;134;7.69
altri servizi collettivi e personali;2015;72216;409.16;155;8.78
altri servizi collettivi e personali;2016;73972;418.16;135;7.63
altri servizi collettivi e personali;2017;67330;371.99;109;6.02
altri servizi collettivi e personali;2018;70216;389.66;139;7.71
